Height	B.Reward	Coin Emitted	Emission(%)	Days	Years
0000000	1.00000000	1.0	00.00	0000	0.0
0087660	36.90000000	2840189.5	01.58	0060	0.16
0175320	42.50000000	6074849.1	03.37	0121	0.33
0262980	49.19000000	9800405.79	05.44	0182	0.5
0350640	56.99000000	14112408.99	07.84	0243	0.67
0438300	65.88000000	19108161.28	10.62	0304	0.83
0525960	75.87000000	24883212.07	13.82	0365	1.0
0613620	86.96000000	31533987.36	17.52	0426	1.17
0701280	99.15000000	39156913.15	21.75	0487	1.33
0788940	112.43000000	47848415.43	26.58	0547	1.5
0876600	126.82000000	57704043.62	32.06	0608	1.66
0964260	142.30000000	68821100.3	38.23	0669	1.83
1051920	158.88000000	81295134.88	45.16	0730	2.0
1139580	80.85000000	95222477.65	52.90	0791	2.17
1227240	74.09000000	102309781.89	56.84	0852	2.33
1314900	67.89000000	108804505.09	60.45	0913	2.5
1402560	62.22000000	114755736.82	63.75	0974	2.67
1490220	57.02000000	120209936.82	66.78	1034	2.83
1577880	52.25000000	125208305.25	69.56	1095	3.0
1665540	47.88000000	129788535.88	72.10	1156	3.16
1753200	43.88000000	133985692.68	74.44	1217	3.33
1840860	40.21000000	137832209.81	76.57	1278	3.5
1928520	36.85000000	141357015.05	78.53	1339	3.67
2016180	33.77000000	144587282.97	80.33	1400	3.83
2103840	30.94000000	147547558.34	81.97	1461	4.0
2191500	28.36000000	150259756.16	83.48	1521	4.16
2279160	25.99000000	152745791.39	84.86	1582	4.33
2366820	23.81000000	155024072.61	86.12	1643	4.5
2454480	21.82000000	157111255.22	87.28	1704	4.67
2542140	20.00000000	159023994.6	88.35	1765	4.83
2629800	18.33000000	160777192.93	89.32	1826	5.0
2717460	16.79000000	162383999.19	90.21	1887	5.17
2805120	15.39000000	163855809.19	91.03	1948	5.33
2892780	14.10000000	165204895.3	91.78	2008	5.5
2980440	12.93000000	166440900.13	92.47	2069	5.66
3068100	11.85000000	167574342.85	93.10	2130	5.83
3155760	10.85000000	168613112.85	93.67	2191	6.0
3243420	9.95000000	169564222.95	94.20	2252	6.17
3331080	9.12000000	170436439.12	94.69	2313	6.33
3418740	8.35000000	171235897.55	95.13	2374	6.5
3506400	7.66000000	171967857.86	95.54	2435	6.67
3594060	7.01000000	172639332.81	95.91	2495	6.83
3681720	6.43000000	173253828.83	96.25	2556	7.0
3769380	5.89000000	173817482.09	96.57	2617	7.16
3857040	5.40000000	174333799.0	96.85	2678	7.33
3944700	4.95000000	174807162.55	97.12	2739	7.5
4032360	4.53000000	175241079.13	97.36	2800	7.67
